Datetime;solar_mw;wind-speed;humidity;average-wind-speed-(period);average-pressure-(period);temperature;;;
3/04/2020 09:00;11363;13.9;81;11;29.9;63;;;
3/04/2020 10:00;11254;13.9;81;17;29.87;63;;;
3/04/2020 11:00;11048;13.9;68;21;29.88;63;;;
3/04/2020 12:00;10763;13.9;66;15;29.91;63;;;
3/04/2020 13:00;10396;13.9;75;10;29.93;63;;;
3/04/2020 14:00;10071;13.9;87;9;29.9;63;;;
3/04/2020 15:00;9836;13.9;90;11;29.86;63;;;
3/04/2020 16:00;9609;13.9;93;11;29.86;63;;;
3/04/2020 17:00;11363;15.8;90;13;29.87;61;;;
3/04/2020 18:00;9868;15.8;84;17;29.85;61;;;
3/04/2020 19:00;10144;15.8;73;20;29.83;63;;;
3/04/2020 20:00;10514;15.8;68;23;29.86;61;;;
3/04/2020 21:00;10728;15.8;75;14;29.88;61;;;
3/04/2020 22:00;10233;15.8;90;8;29.86;61;;;
3/04/2020 23:00;9506;15.8;90;13;29.84;61;;;
4/04/2020 00:00;8784;15.8;90;18;29.83;61;;;
4/04/2020 01:00;8309;12.4;81;14;29.84;74;;;
4/04/2020 02:00;8055;12.4;70;21;29.81;74;;;
4/04/2020 03:00;7990;12.4;43;30;29.82;74;;;
4/04/2020 04:00;7937;12.4;40;24;29.86;74;;;
4/04/2020 05:00;8193;12.4;74;0;29.9;74;;;
4/04/2020 06:00;8749;12.4;66;0;29.91;74;;;
4/04/2020 07:00;9558;12.4;57;3;29.89;74;;;
4/04/2020 08:00;9958;12.4;46;5;29.9;74;;;
4/04/2020 09:00;9961;6.6;45;6;29.92;78;;;
4/04/2020 10:00;9994;6.6;32;13;29.9;78;;;
4/04/2020 11:00;9922;6.6;19;20;29.91;78;;;
4/04/2020 12:00;9994;6.6;36;5;29.94;78;;;
4/04/2020 13:00;9874;6.6;66;3;29.93;78;;;
4/04/2020 14:00;9801;6.6;71;0;29.97;78;;;
4/04/2020 15:00;9752;6.6;52;0;29.94;78;;;
4/04/2020 16:00;9691;13.9;72;6;29.97;78;;;
4/04/2020 17:00;9704;9.8;61;9;29.98;71;;;
4/04/2020 18:00;9692;9.8;47;22;29.95;71;;;
4/04/2020 19:00;9769;9.8;73;18;29.95;71;;;
4/04/2020 20:00;10164;9.8;42;13;30;71;;;
4/04/2020 21:00;10561;9.8;78;3;30.05;71;;;
4/04/2020 22:00;10318;9.8;100;5;30.06;71;;;
4/04/2020 23:00;9759;9.8;96;6;30.04;71;;;
5/04/2020 00:00;9256;9.8;93;10;30.05;71;;;
5/04/2020 01:00;8964;12.1;93;15;30.04;62;;;
5/04/2020 02:00;8882;12.1;90;13;29.99;62;;;
5/04/2020 03:00;8950;12.1;70;23;29.98;62;;;
5/04/2020 04:00;9119;12.1;61;15;30;62;;;
5/04/2020 05:00;9637;12.1;70;13;30.03;62;;;
5/04/2020 06:00;10556;12.1;87;5;30.02;62;;;
5/04/2020 07:00;11794;12.1;90;5;29.99;62;;;
5/04/2020 08:00;12263;12.1;93;8;29.99;62;;;
5/04/2020 09:00;11827;9.8;90;15;29.97;63;;;
5/04/2020 10:00;11387;9.8;78;16;29.93;63;;;
5/04/2020 11:00;10954;9.8;63;21;29.92;63;;;
5/04/2020 12:00;10518;9.8;66;6;29.96;63;;;
5/04/2020 13:00;10147;9.8;70;6;29.99;63;;;
5/04/2020 14:00;9921;9.8;87;7;29.99;63;;;
5/04/2020 15:00;9713;9.8;83;5;29.96;63;;;
5/04/2020 16:00;9501;9.8;83;3;29.97;63;;;
5/04/2020 17:00;9497;8.1;86;9;29.97;61;;;
5/04/2020 18:00;9590;8.1;75;14;29.94;61;;;
5/04/2020 19:00;9851;8.1;63;14;29.95;61;;;
5/04/2020 20:00;10439;8.1;59;18;29.95;61;;;
5/04/2020 21:00;10974;8.1;68;3;29.96;61;;;
5/04/2020 22:00;10754;8.1;80;0;29.94;61;;;
5/04/2020 23:00;10257;8.1;83;3;29.91;61;;;
6/04/2020 00:00;9742;8.1;80;8;29.91;61;;;
6/04/2020 01:00;9383;11.6;80;8;29.92;62;;;
6/04/2020 02:00;9224;11.6;83;11;29.91;62;;;
6/04/2020 03:00;9216;11.6;65;29;29.91;62;;;
6/04/2020 04:00;9324;11.6;57;24;29.92;62;;;
6/04/2020 05:00;9643;11.6;63;10;29.94;62;;;
6/04/2020 06:00;10381;11.6;87;6;29.91;62;;;
6/04/2020 07:00;11318;11.6;87;3;29.87;62;;;
6/04/2020 08:00;11664;11.6;81;6;29.87;62;;;
6/04/2020 09:00;11496;14.7;81;14;29.89;63;;;
6/04/2020 10:00;11043;14.7;78;22;29.88;63;;;
6/04/2020 11:00;10560;14.7;68;17;29.86;63;;;
6/04/2020 12:00;10106;14.7;63;21;29.86;63;;;
6/04/2020 13:00;9671;14.7;73;17;29.89;63;;;
6/04/2020 14:00;9478;14.7;84;7;29.88;63;;;
