"","id","sexo","fechnac","educ","catlab","salario_actual","salario_inicial","antiguedad","experiencia","minoría","directivo"
"1",1,1,1952-02-03,15,3,57000,27000,98,144,0,1
"2",2,1,1958-05-23,16,1,40200,18750,98,36,0,0
"3",3,0,1929-07-26,12,1,21450,12000,98,381,0,0
"4",4,0,1947-04-15,8,1,21900,13200,98,190,0,0
"5",5,1,1955-02-09,15,1,45000,21000,98,138,0,0
"6",6,1,1958-08-22,15,1,32100,13500,98,67,0,0
"7",7,1,1956-04-26,15,1,36000,18750,98,114,0,0
"8",8,0,1966-05-06,12,1,21900,9750,98,0,0,0
"9",9,0,1946-01-23,15,1,27900,12750,98,115,0,0
"10",10,0,1946-02-13,12,1,24000,13500,98,244,0,0
"11",11,0,1950-02-07,16,1,30300,16500,98,143,0,0
"12",12,1,1966-01-11,8,1,28350,12000,98,26,1,0
"13",13,1,1960-07-17,15,1,27750,14250,98,34,1,0
"14",14,0,1949-02-26,15,1,35100,16800,98,137,1,0
"15",15,1,1962-08-29,12,1,27300,13500,97,66,0,0
"16",16,1,1964-11-17,12,1,40800,15000,97,24,0,0
"17",17,1,1962-07-18,15,1,46000,14250,97,48,0,0
"18",18,1,1956-03-20,16,3,103750,27510,97,70,0,1
"19",19,1,1962-08-19,12,1,42300,14250,97,103,0,0
"20",20,0,1940-01-23,12,1,26250,11550,97,48,0,0
"21",21,0,1963-02-19,16,1,38850,15000,97,17,0,0
"22",22,1,1940-09-24,12,1,21750,12750,97,315,1,0
"23",23,0,1965-03-15,15,1,24000,11100,97,75,1,0
"24",24,0,1933-03-27,12,1,16950,9000,97,124,1,0
"25",25,0,1942-07-01,15,1,21150,9000,97,171,1,0
"26",26,1,1966-11-08,15,1,31050,12600,96,14,0,0
"27",27,1,1954-03-19,19,3,60375,27480,96,96,0,1
"28",28,1,1963-04-11,15,1,32550,14250,96,43,0,0
"29",29,1,1944-01-28,19,3,135000,79980,96,199,0,1
"30",30,1,1961-09-17,15,1,31200,14250,96,54,0,0
"31",31,1,1964-02-24,12,1,36150,14250,96,83,0,0
"32",32,1,1954-01-28,19,3,110625,45000,96,120,0,1
"33",33,1,1961-03-18,15,1,42000,15000,96,68,0,0
"34",34,1,1949-02-02,19,3,92000,39990,96,175,0,1
"35",35,1,1961-08-22,17,3,81250,30000,96,18,0,1
"36",36,0,1963-08-07,8,1,31350,11250,96,52,0,0
"37",37,1,1954-10-09,12,1,29100,13500,96,113,1,0
"38",38,1,1962-04-27,15,1,31350,15000,96,49,1,0
"39",39,1,1960-06-22,16,1,36000,15000,96,46,1,0
"40",40,0,1933-08-28,15,1,19200,9000,96,23,1,0
"41",41,0,1961-03-18,12,1,23550,11550,96,52,1,0
"42",42,1,1960-09-23,15,1,35100,16500,95,90,0,0
"43",43,1,1964-01-18,12,1,23250,14250,95,46,0,0
"44",44,1,1963-06-15,8,1,29250,14250,95,50,0,0
"45",45,1,1938-08-02,12,2,30750,13500,95,307,0,0
"46",46,0,1940-11-18,15,1,22350,12750,95,165,0,0
"47",47,0,1938-04-28,12,1,30000,16500,95,228,0,0
"48",48,1,1947-06-07,12,2,30750,14100,94,240,0,0
"49",49,1,1958-09-16,15,1,34800,16500,94,93,0,0
"50",50,1,1960-02-09,16,3,60000,23730,94,59,0,1
"51",51,1,1962-07-08,12,1,35550,15000,94,48,0,0
"52",52,1,1963-11-12,15,1,45150,15000,94,40,0,0
"53",53,1,1954-04-21,18,3,73750,26250,94,56,0,1
"54",54,1,1931-06-04,12,1,25050,13500,94,444,0,0
"55",55,1,1960-06-25,12,1,27000,15000,94,120,0,0
"56",56,1,1962-04-16,15,1,26850,13500,94,5,0,0
"57",57,1,1963-04-15,15,1,33900,15750,94,78,0,0
"58",58,0,1964-11-14,15,1,26400,13500,94,3,0,0
"59",59,1,1961-05-07,15,1,28050,14250,94,36,1,0
"60",60,1,1959-02-16,12,1,30900,15000,94,102,1,0
"61",61,1,1964-04-28,8,1,22500,9750,94,36,1,0
"62",62,1,1962-07-18,16,3,48000,21750,93,22,0,1
"63",63,1,1961-08-20,17,3,55000,26250,93,32,0,1
"64",64,1,1963-09-28,16,3,53125,21000,93,48,0,1
"65",65,1,1964-03-28,8,1,21900,14550,93,41,0,0
"66",66,1,1962-02-16,19,3,78125,30000,93,7,0,1
"67",67,1,1964-05-28,16,3,46000,21240,93,35,0,1
"68",68,1,1963-05-05,16,3,45250,21480,93,36,0,1
"69",69,1,1960-06-23,16,3,56550,25000,93,34,0,1
"70",70,1,1962-02-08,15,1,41100,20250,93,27,0,0
"71",71,1,1948-08-26,17,3,82500,34980,93,207,0,1
"72",72,0,1964-01-07,16,1,54000,18000,93,11,0,0
"73",73,0,1968-02-09,12,1,26400,10500,93,0,0,0
"74",74,0,1933-04-28,15,1,33900,19500,93,192,0,0
"75",75,0,1965-08-12,15,1,24150,11550,93,0,0,0
"76",76,0,1967-09-03,15,1,29250,11550,93,11,0,0
"77",77,0,1968-09-09,12,1,27600,11400,93,6,0,0
"78",78,0,1968-08-20,12,1,22950,10500,93,10,0,0
"79",79,0,1962-01-23,16,1,34800,14550,93,8,0,0
"80",80,0,1961-05-25,16,1,51000,18000,93,22,0,0
"81",81,0,1968-03-12,12,1,24300,10950,93,5,0,0
"82",82,0,1947-08-28,12,1,24750,14250,93,193,1,0
"83",83,0,1967-10-12,12,1,22950,11250,93,0,1,0
"84",84,0,1967-03-12,8,1,25050,10950,93,8,1,0
"85",85,1,1962-04-09,15,1,25950,17100,92,42,0,0
"86",86,1,1961-08-25,15,1,31650,15750,92,64,0,0
"87",87,1,1959-10-20,12,1,24150,14100,92,130,0,0
"88",88,1,1962-02-10,19,3,72500,28740,92,10,0,1
"89",89,1,1961-06-24,19,3,68750,27480,92,8,0,1
"90",90,0,1938-02-27,8,1,16200,9750,92,0,0,0
"91",91,0,1967-11-04,12,1,20100,11250,92,24,0,0
"92",92,0,1968-06-25,8,1,24000,10950,92,6,0,0
"93",93,0,1968-03-05,12,1,25950,10950,92,0,0,0
"94",94,0,1950-08-04,12,1,24600,10050,92,44,0,0
"95",95,0,1968-08-08,12,1,28500,10500,92,6,0,0
"96",96,1,1933-10-02,8,2,30750,15000,92,432,1,0
"97",97,1,1953-01-18,17,1,40200,19500,92,168,1,0
"98",98,1,1956-05-17,8,2,30000,15000,92,144,1,0
"99",99,0,1968-07-07,12,1,22050,10950,92,5,1,0
"100",100,1,1963-10-25,18,3,78250,27480,91,47,0,1
"101",101,1,1960-03-14,16,3,60625,22500,91,44,0,1
"102",102,1,1963-03-28,14,1,39900,15750,91,59,0,0
"103",103,1,1959-03-17,19,3,97000,35010,91,68,0,1
"104",104,1,1962-11-05,15,1,27450,15750,91,48,0,0
"105",105,1,1966-03-07,15,1,31650,13500,91,18,0,0
"106",106,1,1962-08-04,19,3,91250,29490,91,23,0,1
"107",107,0,1960-08-16,12,1,25200,14400,91,83,0,0
"108",108,0,1930-07-16,12,1,21000,11550,91,108,0,0
"109",109,1,1963-11-10,12,1,30450,15000,91,49,1,0
"110",110,1,1952-10-29,15,1,28350,18000,91,151,1,0
"111",111,1,1940-11-27,12,2,30750,9000,91,314,1,0
"112",112,1,1948-06-21,12,2,30750,15000,91,240,1,0
