,tweet_dt,topic,id,username,name,tweet,like_count,reply_count,retweet_count,retweeted
0,2021-12-17,#spidermannowayhome,1471993608551251977,DogoDostuff,Dogo DoStuff,What the fuck happned in #SpiderManNoWayHome like is this the end of the #Marvel spiderman?,0,0,0,False
1,2021-12-17,#spidermannowayhome,1471993603690012672,Klakuladd,Adam,I have to be honest about one thing in #SpiderManNoWayHome is that its post credits scene is both a cock tease and an exciting possibility for the future Spider-Man films,0,0,0,False
2,2021-12-17,#spidermannowayhome,1471993597876654083,Sexy_goddess01,K.,Wow theatre is packed for #SpiderManNoWayHome,0,0,0,False
3,2021-12-17,#spidermannowayhome,1471993571129573381,taketoopodcast,Take Too,"Just a hint at what this #SpiderManNoWayHome box office is gonna look like.

My local @AMCTheatres 8-10pm time-slots! https://t.co/gdZe9JPALt",0,0,0,False
4,2021-12-17,#spidermannowayhome,1471993567228923909,TETwVanshika,Vanshika Chaturvedi,@Marvel really be working on their villains! Giving a heart to them. No franchise ever does that. No one ever makes us love the villains as much as we love the heroes. @MarvelStudios @SpiderManMovie #SpiderManNoWayHome #SpiderMan,0,0,0,False
5,2021-12-17,#spidermannowayhome,1471993561352650760,_elizq,Eliza,"@Marvel @TomHolland1996 @Kevfeige @SonyPictures what have you done to my brain this experiences wasOMGand this reactions of audiences gusy what can i say good job for all cast and crew WOWO I DONT HAVE A WORDS THIS IS THE BEST MOVIE IT'S JUST AMAZING!!!🕷🕸❤
#SpiderManNoWayHome",0,0,0,False
6,2021-12-17,#spidermannowayhome,1471993557443567616,niallxholland,Angie. | NO WAY HOME ERA,"SPOILERS #SpiderManNoWayHome  
•
•
•
•
•
•
•
•
•
•
MEME IN THE REAL LIFE, EVERYONE SCREAMS IN THAT SCENE. https://t.co/r9h9rE6Iwk",26,0,4,False
7,2021-12-17,#spidermannowayhome,1471993556659228682,oytunkaratas,KocaKafali,#SpiderManNoWayHome The Best. Superhero. Movie. Ever.,1,0,1,False
8,2021-12-17,#spidermannowayhome,1471993537071927299,ZeroFlame16,ZeroFlame16,Yay its the weekend.  And means 48 hours till i can see #SpiderManNoWayHome https://t.co/KIOcrIkgeZ,1,0,0,False
9,2021-12-17,#spidermannowayhome,1471993522865815554,gwskissys,lara,i had so many expectations for this movie and somehow it exceeded every single one. #SpiderManNoWayHome,1,0,0,False
10,2021-12-17,#spidermannowayhome,1471993511956340745,jbrizzle92,Jerrell Simpson,Double dipped on No Way Home with my cousin.  Its even better the second time around ! #NoWayHome #SpiderManNoWayHome,0,0,0,False
11,2021-12-17,#spidermannowayhome,1471993477466628104,ohviviart,vivi,when he’s a spider who’s also a man #SpiderMan #SpiderManNoWayHome https://t.co/r5mNYUlBAz,0,0,0,False
12,2021-12-17,#spidermannowayhome,1471993477219110914,CamJ43737,Cameron Jones,#SpiderManNoWayHome is the best marvel movie (really movie in general) I’ve seen in my two decades of existence.,0,0,0,False
13,2021-12-17,#spidermannowayhome,1471993476942217216,myra7,mayra,Few more hours till #SpiderManNoWayHome,1,0,0,False
14,2021-12-17,#spidermannowayhome,1471993471955206145,alain_limon1,Alan Vazquez Fox,"i had a blast!!! NO SPOILERS!!! 🕷❤️💙 #Spidermannowayhome 

@TomHolland1996 @Zendaya @lifeiisaloha @marisatomei @ohsnapjbsmoove @MartinStarr @wongrel @iamjamiefoxx @TonyRevolori @HarryHolland99 @domholland https://t.co/9LEvF8tJBW",0,0,0,False
15,2021-12-17,#spidermannowayhome,1471993455752753154,MikeMMedia,Michael Mercado,It was fantastic. #SpiderManNoWayHome #SpiderMan,0,0,0,False
16,2021-12-17,#spidermannowayhome,1471993453240360961,IIIRaniaIII,Rania,"Spoilers without context
#SpiderManNoWayHome https://t.co/I9rMfa3Goo",0,0,0,False
17,2021-12-17,#spidermannowayhome,1471993453189996544,JoeyRamsay,Joey Ramsay,"Aye #SpiderManNoWayHome top 5 of all time straight away, all the emotions unreal",2,0,0,False
18,2021-12-17,#spidermannowayhome,1471993452468457473,SKAfrica,Sola 🇳🇬,#SpoilerFree hot take. #SpiderManNoWayHome is arguably the most ambitious superhero film ever made.,0,0,0,False
19,2021-12-17,#spidermannowayhome,1471993446072209408,skipper_kun74,skipper penguin,Just Wow #SpiderManNoWayHome I’m gonna watch this so many times,1,0,0,False
20,2021-12-17,#spidermannowayhome,1471993432797327365,ilyjorgito,v e r o n i c Spider-Man spoilers 🕸,"go
  little
   ✨rockstar✨
#SpiderManNoWayHome
 https://t.co/ztnVRW410z",1,0,0,False
21,2021-12-17,#spidermannowayhome,1471993431111131136,CoppolasDarling,𝕯𝖔𝖒𝖎𝖓𝖔,Every Spider-Man movie is like “Peter vs train” #spidermannowayhome,0,0,0,False
22,2021-12-17,#spidermannowayhome,1471993420390584321,7295Thecatboy,Shared Universe (Earth 112005) ⛄️🎄,About to watch #SpiderManNoWayHome !!!!! https://t.co/EWojxGWEci,0,0,0,False
23,2021-12-17,#spidermannowayhome,1471993416770859014,TheMensRoom13,The Men's Room!,"Come hang out tonight, we talk about #SpiderManNoWayHome !! Its gonna be fun! https://t.co/dWuM2cmdTj https://t.co/kAcO77IBAc",0,0,0,False
24,2021-12-17,#spidermannowayhome,1471993414770208768,Pattypooh11,pattypooh11,@GFuelEnergy @SpiderManMovie This is amazing!! #SpiderManNoWayHome  x#GFUEL,0,0,0,False
25,2021-12-17,#spidermannowayhome,1471993406247378945,MrDude_7,🎄Owen,Seated for #SpiderManNoWayHome,1,0,0,False
26,2021-12-17,#spidermannowayhome,1471993399867850754,TheGilsHaveEyes,DSR,Spiderman was INSANE! I'm so not ready to talk about it yet though 😅 #SpiderManNoWayHome,0,0,0,False
27,2021-12-17,#spidermannowayhome,1471993387582689286,Will_Spencer3,"Will Spencer📽- Nominate Tessa Thompson, Cowards","#SpidermanNoWayHome is essentially one elongated, studio-approved cheat code to expedite Tom Holland's Peter Parker past his high school era, and I'm kind of irked at how still manages to excel despite its narrative clutter.",1,0,0,False
28,2021-12-17,#spidermannowayhome,1471993368792211456,horvathz,Zoltán Horváth,"Hello, Peters. #Spidermannowayhome",0,0,0,False
29,2021-12-17,#spidermannowayhome,1471993350848925705,DavidJRogers__,David Rogers,Nobody talking about that first surprise 😔 #SpiderManNoWayHome,0,0,0,False
30,2021-12-17,#spidermannowayhome,1471993347736686595,NetworkMarvel,The Marvel Network,New Screen X poster for #SpiderManNoWayHome! https://t.co/6SLrAWbyNv,10,0,0,False
31,2021-12-17,#spidermannowayhome,1471993336735186956,SC12789566,large boy,Some people hate Tom Hollands#’s Spider-Man just to hate on it. #SpiderManNoWayHome,0,0,0,False
32,2021-12-17,#spidermannowayhome,1471993333832568834,MsStephGuzman,Stephanie Guzman,"Loved the movie! If you haven’t seen it, please and go watch it. #SpiderManNoWayHome",0,0,0,False
33,2021-12-17,#spidermannowayhome,1471993331517382658,lmd9008,lboogy😎,Can't wait for #SpiderManNoWayHome tonight!!,0,0,0,False
34,2021-12-17,#spidermannowayhome,1471993329369980932,Diesel20212,Ben H,"#SpiderManNoWayHome was practically perfect in every way imaginable.  Loved it to the end.  👍

10/10",3,0,1,False
35,2021-12-17,#spidermannowayhome,1471993322369687556,K3DthePro,Shadow Realm Konsultant♦️,Spider-Man: No Way Home is up next!! Let's goooooo #SpiderManNoWayHome,1,0,0,False
36,2021-12-17,#spidermannowayhome,1471993315994136576,Joshieeed,Long Live GiGi & Kobe,#SpiderManNoWayHome  theme song https://t.co/LLa6EtsqOV,1,0,0,False
37,2021-12-17,#spidermannowayhome,1471993313632919554,TheTerribleHook,The Terrible Hook,"@spideyupdated Andrew Garfield lies.

#SpiderManNoWayHome",0,0,1,False
38,2021-12-17,#spidermannowayhome,1471993309111500803,love4bassett,madalena// viu nwh e desidratou,always💞 #SpiderManNoWayHome #PeterParker https://t.co/TzeuRNvuel,0,0,0,False
39,2021-12-17,#spidermannowayhome,1471993308398460932,problemsthots,kimberly saw no way home.,Time for #SpiderManNoWayHome  Round 2. https://t.co/xC6yeiOF5W,22,0,0,False
40,2021-12-17,#spidermannowayhome,1471993300076744704,afcelz,elz ☭ #BLM,"I am speechless, masterpiece. #SpiderManNoWayHome https://t.co/D5HA3pmyDD",7,0,0,False
41,2021-12-17,#spidermannowayhome,1471993299661697027,BlemetriaRexh,Bemi Rexhvato,GUYS GUESS WHAT IM WATCHING #SpiderManNoWayHome IN 1 HOUR BRING ON THE TISSUES https://t.co/U1oY0KpuOl,7,0,0,False
42,2021-12-17,#spidermannowayhome,1471993286172676097,canchanyoshisan,Joseph Gottlieb,JUST SAW #SpiderManNoWayHome AND IT WAS AWEEEEEEESOME!!!!!!,0,0,0,False
43,2021-12-17,#spidermannowayhome,1471993261904601093,lujeeen_,Lujeeen 🍀🌱,"This is it 😂😂
#SpiderManNoWayHome #SpiderMan https://t.co/o2K2mVrqLV",3,0,0,False
44,2021-12-17,#spidermannowayhome,1471993260650414088,CryptMidwest,Midwest Crypt Keeper 💀,"Family Night at the Movies. 
#SpiderManNoWayHome 👏👏👏🙌

First one we’ve all gone to since Endgame. #FUKUCOVID 

Let’s Go Spidey 💪 https://t.co/hGY7UUpjoN",5,0,0,False
45,2021-12-17,#spidermannowayhome,1471993241801220098,kirstylocke_,Kirsty,#SpiderManNoWayHome hands down best film I’ve ever seen 👏🏽,5,0,0,False
46,2021-12-17,#spidermannowayhome,1471993236839403523,packcrj02,Charlie Johnson 🎄- Bulls Are Back - 17-10,Man Spider-Man No Way Home was awesome! 🕷 #SpiderManNoWayHome,1,0,0,False
47,2021-12-17,#spidermannowayhome,1471993228765368323,WomanofGodBitch,Chanelle 💕,About to watch #SpiderManNoWayHome. I have ANXIETY,0,0,0,False
